Category,Skills,Date,Budget
iOS,Object C,10/25/2015,2000
windows,MFC,10/28/2015,
iOS,Objective-C,11/1/2015,4500
Android,Java,12/1/2015,500
Android,Java,12/10/2015,2000
windows,MFC,12/19/2015,
Android,Java,12/20/2015,1000
web,PHP,1/5/2016,3000
iOS/Android,"Java,Objective-c",1/8/2016,30000
Android,Java,1/10/2016,
Android,Java,1/20/2016,1500
iOS,SWIFT 3.0,2/6/2016,
Android,Java,2/12/2016,2000
iOS,Object C,2/16/2016,2500
Android,Java,2/17/2016,5000
iOS,Objective C,2/17/2016,2700
Android,Java,2/23/2016,500
iOS,Swift 2.3,3/5/2016,500
Android,Java,4/10/2016,1500
macOS,Objective C,4/11/2016,
Android,Java,5/5/2016,
Android,Java,5/5/2016,3500
iOS,Object C,5/7/2016,2500
Android,Java,5/10/2016,250
iOS,Swift2.2,5/10/2016,2500
Android,Java,5/10/2016,4000
Android,Java,5/21/2016,3000
windows,MFC,5/26/2016,8000
web,"angularjs, nodejs,javascript",6/5/2016,2500
Android,Java,6/10/2016,250
Web,"HTML5, jQuery, CSS3",6/15/2016,12000
iOS,Object C,6/20/2016,1500
iOS,Objective C,6/21/2016,6000
windows,.Net framework,7/1/2016,
iOS,Objective-C,7/2/2016,300
Android,Java,7/5/2016,
Android,Java,7/12/2016,4000
iOS,SWIFT 2.3,7/15/2016,
Web,"html5, phaser, jquery",7/20/2016,2700
macOS,SWIFT 3.0,7/25/2016,
Web,"jQuery, CSS3",7/25/2016,1000
web,ASP.NET MVC,8/1/2016,1500
Android,Java,8/5/2016,
Android,Java,8/10/2016,
Web,"html5, css3, jquery",8/16/2016,2500
iOS,Objective-C,9/5/2016,
macOS,SWIFT 3.0,9/10/2016,
iOS,Objective C,9/25/2016,2000
iOS,Objective C,10/3/2016,
iOS,Objective-C,10/5/2016,
Android,Java,10/5/2016,
Web,"html5, webgl",10/5/2016,1000
Android,Java,10/12/2016,
Android,Java,10/16/2016,20000
Web,"jQuery, CSS3",10/20/2016,3200
iOS,Objective-c,10/28/2016,2000
Web,"html5, css3",10/28/2016,1500
windows,MFC,11/3/2016,2000
iOS,Objective-C,11/5/2016,
Android,Java,11/5/2016,
Android,Java,11/5/2016,2000
iOS,Objective-C,11/5/2016,30000
Android,Java,11/5/2016,20000
iOS,Objective-c,11/10/2016,10000
Android,Java,11/10/2016,5000
iOS,"Objective C, Swift",11/14/2016,1000
iOS/Android,"Java,Swift3",11/15/2016,20000
Web,"html5, javascript",11/20/2016,200
Web,"html5, javascript",11/23/2016,1500
iOS,Objective C,11/27/2016,400
Android,Java,11/29/2016,
Web,"html5, css3, jquery",12/1/2016,1000
other,"c++,openCV",12/3/2016,1500
iOS,Swift 3.0,12/5/2016,2000
Web,"html5, javascript",12/7/2016,5000
Web,"html5, javascript",12/13/2016,300
Android,Java,12/15/2016,
Web,"Polymer, bpmn.js",12/15/2016,2500
web,PHP,12/20/2016,2000
Web,"html5, wordpress",12/20/2016,1500
iOS,Objective-C,1/3/2017,5000
Web,"WebGL, html5, CannyEdge",1/3/2017,5000
Web,"PHP, JavaScript",1/4/2017,1600
iOS,Objective-C,1/5/2017,
Other,"Java, JPCT",1/5/2017,3000
Web,"WEBGL, Cesium",1/6/2017,2000
iOS/Android,"Objective-c,Java",1/8/2017,15000
iOS,Objective-c,1/8/2017,15000
Web,"html5, css3, jquery",1/12/2017,4500
Web,"html5, webgl, jquery",1/15/2017,1200
Web,"html5, tumblr, qrcode",1/20/2017,3500
Web,"node js, javascript",1/20/2017,2000
Web,"Pixi, html5",1/23/2017,5000
Android,Java,1/28/2017,
iOS,SWIFT 3.0,2/1/2017,
web,"php,html,javascript,jquery,bootstrap,css,ajax",2/1/2017,5000
web,"php,html,javascript,jquery,bootstrap,css,ajax",2/1/2017,7000
web,"php,html,javascript,jquery,bootstrap,css,ajax",2/1/2017,1300
Android,Java,2/3/2017,1000
iOS,Objective-c,2/5/2017,750
other,Python,2/5/2017,100
Web,"jQuery, CSS3",2/6/2017,1000
iOS,Swift3,2/10/2017,500
iOS,Objective C,2/11/2017,15000
Android,Java,2/15/2017,
iOS,Objective-C,2/26/2017,
Android,Java,2/26/2017,700
Android,Java,2/28/2017,
Other,"python, pyserial",3/1/2017,2000
Android,Java,3/2/2017,
iOS,Objective-C,3/5/2017,
iOS,Swift 3.0,3/5/2017,3000
Web,"jquery, bootstrap, cake php",3/5/2017,5000
iOS,Swift 3,3/6/2017,7000
Web,"html5, javascript",3/7/2017,300
Web,"html5, jquery, css3",3/10/2017,3000
Web,Laravel,3/11/2017,500
iOS,"Objective C, Swift",3/12/2017,200
web,Laravel,3/17/2017,2500
web,PHP,3/18/2017,1000
web,PHP,3/19/2017,1000
Web,"html5, css3d",3/20/2017,500
Android,Java,3/29/2017,5000
Web,"python, flask, angularjs, mongodb,",4/1/2017,11000
iOS/Android,"Java,Objective-c",4/2/2017,6000
iOS,Objective-C,4/3/2017,
Android,Java,4/5/2017,
iOS,Objective-c,4/5/2017,3000
iOS/Android,"Java,Swift3",4/5/2017,5000
iOS/Android,"Java,Swift3",4/5/2017,4000
iOS/Android,"Java,Swift3",4/5/2017,4000
iOS/Android,"Java,Swift3",4/5/2017,4000
